suite,task_id,task_description,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
libero_10,4,put the white mug on the left plate and put the yellow and white mug on the right plate,50,49,1,0,0.98,0.8950455641036219,0.9964607407283539,234.0,520.0,1,14.409685725113377,15.049751049056649,15.657178388908507,27.303909134767004,0.20902432012578678
libero_goal,2,put the wine bottle on top of the cabinet,50,49,1,0,0.98,0.8950455641036219,0.9964607407283539,91.0,300.0,1,6.371354110306129,6.407993421722203,6.853889207588509,12.341649219635855,0.0889999086350306
libero_goal,4,put the bowl on top of the cabinet,50,49,1,0,0.98,0.8950455641036219,0.9964607407283539,86.0,300.0,1,6.162266556406394,6.480731740761549,6.579080968722701,12.869577652988937,0.09001016306613262
libero_object,0,pick up the alphabet soup and place it in the basket,50,49,1,0,0.98,0.8950455641036219,0.9964607407283539,143.0,280.0,1,9.17562132095918,9.599958854364232,10.999040665430948,14.890572789711873,0.13333276186616988
libero_object,3,pick up the bbq sauce and place it in the basket,50,49,1,0,0.98,0.8950455641036219,0.9964607407283539,127.0,280.0,1,8.087919468525797,8.577628859262914,10.01533082728274,13.413792318683107,0.11913373415642936
libero_object,9,pick up the orange juice and place it in the basket,50,49,1,0,0.98,0.8950455641036219,0.9964607407283539,120.0,280.0,1,7.661667507374659,7.994727316731587,8.431079286755994,13.284705058000974,0.11103787939904983
libero_spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,49,1,0,0.98,0.8950455641036219,0.9964607407283539,123.0,220.0,1,9.10348960547708,9.372544723292812,9.80130056506023,13.382725842259818,0.13017423226795574
libero_spatial,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,49,1,0,0.98,0.8950455641036219,0.9964607407283539,118.0,220.0,1,8.590725090354681,8.857826968757436,9.514818021515385,13.207022228636774,0.1230253745660755
libero_10,1,put both the cream cheese box and the butter in the basket,50,50,0,0,1.0,0.9286524008666414,1.0,248.5,,0,15.111053908709437,15.419332181354985,16.905447581689806,18.03005828129593,0.21415739140770812
libero_10,7,put both the alphabet soup and the cream cheese box in the basket,50,50,0,0,1.0,0.9286524008666414,1.0,258.0,,0,14.594819428632036,15.14981344975531,17.951893920032308,21.820519829611293,0.21041407569104598
libero_goal,0,open the middle drawer of the cabinet,50,50,0,0,1.0,0.9286524008666414,1.0,128.5,,0,8.085796963656321,8.405130463475361,9.180474075023085,14.116855398579496,0.11673792310382447
libero_goal,1,put the bowl on the stove,50,50,0,0,1.0,0.9286524008666414,1.0,86.0,,0,6.127984816906974,6.197870488762856,6.462549098161981,8.435182813168495,0.08608153456615077
libero_goal,5,push the plate to the front of the stove,50,50,0,0,1.0,0.9286524008666414,1.0,125.0,,0,8.22491762903519,8.449434714065864,9.46519456752576,11.490157179273663,0.11735325991758146
libero_goal,6,put the cream cheese in the bowl,50,50,0,0,1.0,0.9286524008666414,1.0,93.0,,0,6.344640015624464,6.433389668939635,6.756378177553415,8.404973801770247,0.08935263429082826
libero_goal,7,turn on the stove,50,50,0,0,1.0,0.9286524008666414,1.0,72.0,,0,5.192025826545432,5.324437799742445,5.723913248907775,7.5816908590029914,0.07395052499642285
libero_goal,8,put the bowl on the plate,50,50,0,0,1.0,0.9286524008666414,1.0,75.0,,0,5.44960302230902,5.474328191364184,5.7024123855866495,6.098063199874013,0.07603233599116922
libero_object,1,pick up the cream cheese and place it in the basket,50,50,0,0,1.0,0.9286524008666414,1.0,129.5,,0,8.202894364017993,8.640119912978262,10.069494581222536,12.399501953418362,0.12000166545803141
libero_object,5,pick up the tomato sauce and place it in the basket,50,50,0,0,1.0,0.9286524008666414,1.0,129.5,,0,8.149989713449031,8.782307711066679,10.553525638952854,13.510956638776696,0.12197649598703719
libero_object,6,pick up the butter and place it in the basket,50,50,0,0,1.0,0.9286524008666414,1.0,156.5,,0,9.403174364939332,9.540066549954936,10.385164772346617,12.363348768320865,0.13250092430492966
libero_object,7,pick up the milk and place it in the basket,50,50,0,0,1.0,0.9286524008666414,1.0,129.0,,0,8.010161750018597,8.10418777401559,8.664639137964695,9.504055002415551,0.11255816352799432
libero_object,8,pick up the chocolate pudding and place it in the basket,50,50,0,0,1.0,0.9286524008666414,1.0,153.5,,0,9.076027624076232,9.372424675608054,10.575096833333374,12.107390927188096,0.13017256493900076
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,50,0,0,1.0,0.9286524008666414,1.0,76.5,,0,6.126166708301753,6.5644755947683,7.82733519920148,10.602568430844691,0.09117327214955973
libero_spatial,1,pick up the black bowl next to the ramekin and place it on the plate,50,50,0,0,1.0,0.9286524008666414,1.0,106.0,,0,7.893471630522981,7.941287564923987,8.328964289883151,9.388289438053032,0.11029566062394426
libero_spatial,2,pick up the black bowl from table center and place it on the plate,50,50,0,0,1.0,0.9286524008666414,1.0,98.5,,0,7.503892427543178,7.579965220214799,8.208474698429928,8.592755100466311,0.10527729472520554
libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,50,50,0,0,1.0,0.9286524008666414,1.0,84.0,,0,6.609546625521034,6.616938757989556,6.922600143402815,7.449922005715779,0.09190192719429938
libero_spatial,6,pick up the black bowl next to the cookie box and place it on the plate,50,50,0,0,1.0,0.9286524008666414,1.0,107.0,,0,8.019270085031167,8.017267073327675,8.565890482440592,9.557877310286273,0.11135093157399549
libero_spatial,8,pick up the black bowl next to the plate and place it on the plate,50,50,0,0,1.0,0.9286524008666414,1.0,98.0,,0,7.459494163282216,7.372144483029842,8.098197138402611,9.960644220840186,0.1023908955976367
