suite,suite_label,task_id,task_description,short_task,official_successes,official_total,official_success_rate,official_ci95_low,official_ci95_high,official_mean_action_steps,official_median_action_steps,official_budget_utilization,official_median_duration_seconds,base_successes,base_success_rate,base_mean_action_steps,base_budget_utilization,base_median_duration_seconds,failures,failure_rank,cumulative_failures,cumulative_failure_share
libero_object,Object,7,pick up the milk and place it in the basket,pick milk → in the basket,50,50,1.0,0.9286524008666414,1.0,130.46,129.0,0.4659285714285714,8.010161750018597,0,0.0,280.0,1.0,15.695255161030218,0,33,58,1.0
libero_object,Object,8,pick up the chocolate pudding and place it in the basket,pick chocolate pudding → in the basket,50,50,1.0,0.9286524008666414,1.0,159.26,153.5,0.5687857142857143,9.076027624076232,0,0.0,280.0,1.0,15.830169642576948,0,34,58,1.0
libero_object,Object,9,pick up the orange juice and place it in the basket,pick orange juice → in the basket,49,50,0.98,0.8950455641036219,0.9964607407283539,127.42,120.0,0.45507142857142857,7.661667507374659,0,0.0,280.0,1.0,15.492535319179296,1,19,56,0.9655172413793104
libero_goal,Goal,0,open the middle drawer of the cabinet,open the middle drawer,50,50,1.0,0.9286524008666414,1.0,132.94,128.5,0.4431333333333333,8.085796963656321,0,0.0,300.0,1.0,16.937016665702686,0,24,58,1.0
libero_goal,Goal,1,put the bowl on the stove,put bowl on the stove,50,50,1.0,0.9286524008666414,1.0,88.14,86.0,0.2938,6.127984816906974,0,0.0,300.0,1.0,16.969387374818325,0,25,58,1.0
libero_goal,Goal,2,put the wine bottle on top of the cabinet,put wine bottle on top,49,50,0.98,0.8950455641036219,0.9964607407283539,95.56,91.5,0.31853333333333333,6.371354110306129,0,0.0,300.0,1.0,16.789406958734617,1,15,52,0.896551724137931
libero_goal,Goal,3,open the top drawer and put the bowl inside,open the top drawer and put bowl inside,48,50,0.96,0.8653990931249297,0.9889611156723802,196.68,189.0,0.6556,11.444752390496433,0,0.0,300.0,1.0,17.06024583801627,2,9,44,0.7586206896551724
libero_goal,Goal,4,put the bowl on top of the cabinet,put bowl on top,49,50,0.98,0.8950455641036219,0.9964607407283539,92.04,86.0,0.3068,6.162266556406394,0,0.0,300.0,1.0,17.500401777680963,1,16,53,0.9137931034482759
libero_goal,Goal,5,push the plate to the front of the stove,push the plate to the front of the stove,50,50,1.0,0.9286524008666414,1.0,129.88,125.0,0.43293333333333334,8.22491762903519,0,0.0,300.0,1.0,17.326319077052176,0,26,58,1.0
libero_goal,Goal,6,put the cream cheese in the bowl,put cream cheese in the bowl,50,50,1.0,0.9286524008666414,1.0,94.0,93.0,0.31333333333333335,6.344640015624464,0,0.0,300.0,1.0,17.273320436710492,0,27,58,1.0
libero_goal,Goal,7,turn on the stove,turn on the stove,50,50,1.0,0.9286524008666414,1.0,75.08,72.0,0.2502666666666667,5.192025826545432,0,0.0,300.0,1.0,17.22136312443763,0,28,58,1.0
libero_goal,Goal,8,put the bowl on the plate,put bowl on the plate,50,50,1.0,0.9286524008666414,1.0,75.32,75.0,0.25106666666666666,5.44960302230902,0,0.0,300.0,1.0,17.758874146500602,0,29,58,1.0
libero_goal,Goal,9,put the wine bottle on the rack,put wine bottle on the rack,45,50,0.9,0.7863976856252035,0.9565242350681096,162.12,148.0,0.5404,9.313418680336326,0,0.0,300.0,1.0,17.47722430457361,5,3,30,0.5172413793103449
libero_10,LIBERO-10,0,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce i…,49,50,0.98,0.8950455641036219,0.9964607407283539,297.78,280.0,0.5726538461538462,17.0975533220917,0,0.0,520.0,1.0,30.14035168895498,1,12,49,0.8448275862068966
libero_10,LIBERO-10,1,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in t…,50,50,1.0,0.9286524008666414,1.0,252.78,248.5,0.4861153846153846,15.111053908709437,0,0.0,520.0,1.0,30.302264570025727,0,22,58,1.0
libero_10,LIBERO-10,2,turn on the stove and put the moka pot on it,turn on the stove and put moka pot on it,49,50,0.98,0.8950455641036219,0.9964607407283539,255.78,246.0,0.49188461538461536,13.118864574935287,0,0.0,520.0,1.0,27.582939945394173,1,13,50,0.8620689655172413
libero_10,LIBERO-10,3,put the black bowl in the bottom drawer of the cabinet and close it,put black bowl in the bottom drawer and close it,45,50,0.9,0.7863976856252035,0.9565242350681096,250.44,219.0,0.4816153846153846,12.276037810137495,0,0.0,520.0,1.0,28.299796101404354,5,2,25,0.43103448275862066
libero_10,LIBERO-10,4,put the white mug on the left plate and put the yellow and white mug on the right plate,put white mug on the left plate and put yellow an…,49,50,0.98,0.8950455641036219,0.9964607407283539,247.56,235.0,0.47607692307692306,14.409685725113377,0,0.0,520.0,1.0,29.829735430656,1,14,51,0.8793103448275862
libero_10,LIBERO-10,5,pick up the book and place it in the back compartment of the caddy,pick book → in the back compartment of the caddy,48,50,0.96,0.8653990931249297,0.9889611156723802,198.78,173.0,0.38226923076923075,9.899623566772789,0,0.0,520.0,1.0,26.837441435549408,2,6,38,0.6551724137931034
libero_10,LIBERO-10,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,put white mug on the plate and put chocolate pudd…,48,50,0.96,0.8653990931249297,0.9889611156723802,241.2,224.0,0.46384615384615385,12.96398438164033,0,0.0,520.0,1.0,28.14340504258871,2,7,40,0.6896551724137931
libero_10,LIBERO-10,7,put both the alphabet soup and the cream cheese box in the basket,put both the alphabet soup and the cream cheese b…,50,50,1.0,0.9286524008666414,1.0,271.14,258.0,0.5214230769230769,14.594819428632036,0,0.0,520.0,1.0,27.75597105687484,0,23,58,1.0
libero_10,LIBERO-10,8,put both moka pots on the stove,put both moka pots on the stove,30,50,0.6,0.4618143774758936,0.7239161026974346,452.18,437.5,0.869576923076923,23.010339514585212,0,0.0,520.0,1.0,28.050678204046562,20,1,20,0.3448275862068966
libero_10,LIBERO-10,9,put the yellow and white mug in the microwave and close it,put yellow and white mug in the microwave and clo…,48,50,0.96,0.8653990931249297,0.9889611156723802,279.24,264.0,0.537,14.526846842607483,0,0.0,520.0,1.0,28.040122243808582,2,8,42,0.7241379310344828
